,country,price
0,Австрия,47063.5824
1,Андорра,
2,Беларусь,31959.31
3,Болгария,41232.5172
4,Венгрия,51825.327
5,Греция,29236.8558
6,Грузия,50356.6152
7,Доминикана,184106.5024
8,Индонезия,121750.9706
9,Испания,59084.174399999996
10,Италия,54370.26959999999
11,Кипр,46890.415799999995
12,Китай,101207.27200000001
13,Куба,106926.15980000001
14,Латвия,41193.436799999996
15,Литва,41892.841199999995
16,Маврикий,154128.38099999996
17,Мальдивы,116084.93100000001
18,Мексика,238747.9784
19,ОАЭ,55430.042400000006
20,Португалия,71012.4558
21,Россия,34513.66
22,Сейшелы,119629.821
23,Таиланд,68144.488
24,Турция,36089.3826
25,Франция,68029.5432
26,Чехия,41813.3328
27,Шри-Ланка,86818.3104
